Pydock,Zdock,Sdock,union,symetric,differnce
combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_PYDOCK_TOT_AP_MPS,28,17,
combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_AP_MPS_CP_RMFCEN1,28,17,
combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_AP_MPS_CP_RMFCEN1,28,16,
combo_CP_SJKG_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_AP_MPS_CP_RMFCEN1,28,16,
combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_CP_E3D_MIN_CP_TB,28,16,
combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_CP_E3D_MIN_CP_TB,28,16,
combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_AP_MPS_CP_RMFCEN1,28,16,
combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_PYDOCK_TOT_AP_MPS,28,16,
combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_AP_MPS_CP_RMFCEN1,28,15,
combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_PYDOCK_TOT_AP_MPS,28,15,
combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_CP_E3D_MIN_CP_TB,28,15,
combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_AP_MPS_CP_RMFCEN1,28,15,
combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_AP_MPS_CP_RMFCEN1,28,15,
combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_PYDOCK_TOT_AP_MPS,28,14,
combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_AP_MPS_CP_RMFCEN1,28,14,
combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_AP_MPS_CP_RMFCEN1,28,14,
combo_CP_SJKG_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_AP_MPS_CP_RMFCEN1,27,19,
combo_CP_SJKG_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_PYDOCK_TOT_AP_MPS,27,18,
combo_CP_BFKV_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_AP_MPS_CP_RMFCEN1,27,18,
combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_CP_E3D_MIN_CP_TB,27,17,
combo_CP_SKOa_PYDOCK_TOT,combo_CP_BFKV_PYDOCK_TOT,combo_SDOCK_AP_MPS,27,16,
combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_T2,combo_CP_E3D_MIN_CP_TB,27,16,
combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_SDOCK_AP_MPS,27,16,
combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_PISA,combo_PYDOCK_TOT_AP_MPS,27,15,
combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_PISA,combo_CP_E3D_MIN_CP_TB,27,15,
combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_CP_E3D_MIN_CP_TB,27,15,
combo_CP_SJKG_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_PYDOCK_TOT_AP_MPS,27,15,
combo_CP_SJKG_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_CP_E3D_MIN_CP_TB,27,15,
combo_CP_BFKV_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_AP_MPS_CP_RMFCEN1,27,15,
combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_SDOCK_AP_MPS,27,15,
combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_AP_MPS_CP_RMFCEN1,27,15,
combo_CP_SKOa_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_AP_MPS_CP_RMFCEN1,27,15,
combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_SDOCK_AP_MPS,27,15,
combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_T2,combo_SDOCK_AP_MPS,27,14,
combo_CP_BFKV_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_CP_E3D_MIN_CP_TB,27,14,
combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_PYDOCK_TOT_AP_MPS,27,14,
combo_CP_SKOa_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_PYDOCK_TOT_AP_MPS,27,14,
combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_PISA,combo_SDOCK_AP_MPS,27,13,
combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_PYDOCK_TOT_AP_MPS,27,13,
combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_CP_E3D_MIN_CP_TB,27,13,
combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_PYDOCK_TOT_AP_MPS,27,13,
combo_CP_SKOa_PYDOCK_TOT,combo_CP_BFKV_CP_TB,combo_PYDOCK_TOT_AP_MPS,26,19,
combo_CP_BFKV_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_SDOCK_AP_MPS,26,19,
combo_CP_SJKG_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_CP_E3D_MIN_CP_TB,26,18,
combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_CP_E3D_MIN_AP_MPS,26,18,
combo_CP_SKOa_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_CP_E3D_MIN_AP_MPS,26,18,
combo_CP_SKOa_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_AP_MPS_CP_RMFCEN1,26,18,
combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_T1,combo_CP_E3D_MIN_CP_TB,26,18,
combo_PYDOCK_TOT_AP_DCOMPLEX,combo_CP_BFKV_PYDOCK_TOT,combo_CP_E3D_MIN_CP_TB,26,18,
combo_CP_BFKV_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_PYDOCK_TOT_AP_MPS,26,17,
combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_CP_E3D_MIN_AP_MPS,26,17,
combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_PISA,combo_CP_E3D_MIN_CP_TB,26,17,
combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_T1,combo_PYDOCK_TOT_AP_MPS,26,16,
combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_T1,combo_CP_E3D_MIN_CP_TB,26,16,
combo_CP_SKOa_PYDOCK_TOT,combo_CP_BFKV_PYDOCK_TOT,combo_CP_E3D_MIN_CP_TB,26,16,
combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_PISA,combo_CP_E3D_MIN_AP_MPS,26,16,
combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_SDOCK_AP_MPS,26,16,
combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_CP_E3D_MIN_AP_MPS,26,16,
combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_SDOCK_AP_MPS,26,16,
combo_CP_SKOa_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_SDOCK_AP_MPS,26,16,
combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_CP_E3D_MIN_CP_TB,26,16,
combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_CP_E3D_MIN_AP_MPS,26,16,
combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_PISA,combo_SDOCK_AP_MPS,26,16,
combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_PISA,combo_PYDOCK_TOT_AP_MPS,26,16,
combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_T2,combo_CP_E3D_MIN_CP_TB,26,16,
combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_T1,combo_AP_MPS_CP_RMFCEN1,26,15,
combo_CP_SKOa_PYDOCK_TOT,combo_CP_BFKV_PYDOCK_TOT,combo_AP_MPS_CP_RMFCEN1,26,15,
combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_SDOCK_AP_MPS,26,15,
combo_CP_SJKG_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_SDOCK_AP_MPS,26,15,
combo_CP_BFKV_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_CP_E3D_MIN_AP_MPS,26,15,
combo_PYDOCK_TOT_AP_DCOMPLEX,combo_CP_BFKV_PYDOCK_TOT,combo_PYDOCK_TOT_AP_MPS,26,15,
combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_T1,combo_SDOCK_AP_MPS,26,14,
combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_T2,combo_PYDOCK_TOT_AP_MPS,26,14,
combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_PYDOCK_TOT_AP_MPS,26,14,
combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_CP_E3D_MIN_CP_TB,26,14,
combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_SDOCK_AP_MPS,26,14,
combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_PYDOCK_TOT_AP_MPS,26,14,
combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_T2,combo_AP_MPS_CP_RMFCEN1,26,13,
combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_SDOCK_AP_MPS,26,13,
combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_PISA,combo_AP_MPS_CP_RMFCEN1,26,12,
