/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_BM5_METHOD_MIX 

pdb.list.flexibility.5 samples = 11

AP_calRW 0.0 0.0 0.0 
AP_calRWp 0.0 0.0 0.0909090909091 
AP_DARS 0.0909090909091 0.0909090909091 0.181818181818 
AP_DCOMPLEX 0.0 0.0 0.0 
AP_dDFIRE 0.0 0.0 0.0 
AP_DFIRE2 0.0 0.0 0.0 
AP_DOPE 0.0 0.0 0.0 
AP_DOPE_HR 0.0 0.0 0.0909090909091 
AP_GOAP_ALL 0.0 0.0 0.0 
AP_GOAP_DF 0.0 0.0 0.0 
AP_GOAP_G 0.0 0.0 0.0 
AP_MPS 0.0 0.0 0.0909090909091 
AP_PISA 0.0 0.0 0.0 
AP_T1 0.0 0.0 0.0909090909091 
AP_T2 0.0 0.0 0.0909090909091 
AP_URS 0.0 0.0 0.0 
AP_WENG 0.0 0.0 0.0909090909091 
CP_BFKV 0.0 0.0909090909091 0.181818181818 
CP_BL 0.0 0.0909090909091 0.0909090909091 
CP_BT 0.0 0.0 0.181818181818 
CP_DECK 0.0 0.0 0.0909090909091 
CP_E3D_CB 0.0 0.0 0.0 
CP_E3DC_CB 0.0 0.0 0.0 
CP_E3DC_MIN 0.0 0.0 0.181818181818 
CP_E3D_MIN 0.0 0.0 0.0 
CP_ELOCAL_CB 0.0 0.0 0.0 
CP_ELOCAL_MIN 0.0 0.0 0.0 
CP_EPAIR_CB 0.0 0.0 0.0 
CP_EPAIR_MIN 0.0 0.0 0.0 
CP_ES3DC_CB 0.0 0.0 0.0 
CP_ES3DC_MIN 0.0 0.0 0.0909090909091 
CP_GKS 0.0 0.0 0.0 
CP_HLPL 0.0 0.0 0.0909090909091 
CP_MJ1 0.0 0.0 0.0909090909091 
CP_MJ2 0.0 0.0 0.0909090909091 
CP_MJ2h 0.0 0.0 0.0 
CP_MJ3h 0.0 0.0909090909091 0.0909090909091 
CP_MJPL 0.0 0.0 0.0 
CP_MS 0.0 0.0 0.0 
CP_MSBM 0.0 0.0 0.0 
CP_Qa 0.0 0.0 0.0909090909091 
CP_Qm 0.0 0.0 0.0 
CP_Qp 0.0 0.0 0.0909090909091 
CP_RMFCA 0.0 0.0 0.0 
CP_RMFCEN1 0.0 0.0 0.0 
CP_RMFCEN2 0.0 0.0 0.0 
CP_RO 0.0 0.0 0.0 
CP_SJKG 0.0 0.0909090909091 0.0909090909091 
CP_SKOa 0.0 0.0909090909091 0.0909090909091 
CP_SKOb 0.0 0.0 0.0909090909091 
CP_SKOIP 0.0 0.0 0.0909090909091 
CP_TB 0.0 0.0909090909091 0.0909090909091 
CP_TD 0.0 0.0909090909091 0.0909090909091 
CP_TEl 0.0909090909091 0.0909090909091 0.0909090909091 
CP_TEs 0.0 0.0 0.0909090909091 
CP_TS 0.0 0.0 0.0 
CP_TSC 0.0 0.0 0.272727272727 
CP_VD 0.0 0.0 0.0909090909091 
CP_Z3DC_CB 0.0 0.0 0.0 
CP_Z3DC_MIN 0.0 0.0 0.0909090909091 
CP_ZLOCAL_CB 0.0 0.0 0.0 
CP_ZLOCAL_MIN 0.0 0.0 0.0 
CP_ZPAIR_CB 0.0 0.0 0.0 
CP_ZPAIR_MIN 0.0 0.0 0.0 
CP_ZS3DC_CB 0.0 0.0 0.0 
CP_ZS3DC_MIN 0.0 0.0 0.0909090909091 
DESOLV 0.0 0.0909090909091 0.0909090909091 
ELE 0.0 0.0 0.0 
ODA 0.0 0.0 0.0 
PROPNSTS 0.0 0.0 0.0 
PYDOCK_TOT 0.0 0.0 0.0 
SIPPER 0.0 0.0 0.0 
VDW 0.0 0.0 0.0 

