/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_BM5_METHOD_MIX 

pdb.list.strongbinders samples = 28

AP_calRW 0.0357142857143 0.214285714286 0.75 
AP_calRWp 0.142857142857 0.357142857143 0.571428571429 
AP_DARS 0.178571428571 0.25 0.357142857143 
AP_DCOMPLEX 0.107142857143 0.285714285714 0.714285714286 
AP_dDFIRE 0.178571428571 0.25 0.464285714286 
AP_DFIRE2 0.0357142857143 0.178571428571 0.464285714286 
AP_DOPE 0.0714285714286 0.214285714286 0.392857142857 
AP_DOPE_HR 0.0357142857143 0.142857142857 0.464285714286 
AP_GOAP_ALL 0.0 0.0357142857143 0.0714285714286 
AP_GOAP_DF 0.0714285714286 0.214285714286 0.464285714286 
AP_GOAP_G 0.0 0.0 0.0714285714286 
AP_MPS 0.107142857143 0.25 0.464285714286 
AP_PISA 0.214285714286 0.571428571429 0.75 
AP_T1 0.178571428571 0.392857142857 0.678571428571 
AP_T2 0.107142857143 0.285714285714 0.642857142857 
AP_URS 0.107142857143 0.25 0.464285714286 
AP_WENG 0.0714285714286 0.0714285714286 0.285714285714 
CP_BFKV 0.107142857143 0.214285714286 0.428571428571 
CP_BL 0.0357142857143 0.357142857143 0.535714285714 
CP_BT 0.0357142857143 0.25 0.571428571429 
CP_DECK 0.285714285714 0.321428571429 0.571428571429 
CP_E3D_CB 0.0714285714286 0.178571428571 0.607142857143 
CP_E3DC_CB 0.0 0.107142857143 0.142857142857 
CP_E3DC_MIN 0.0357142857143 0.285714285714 0.571428571429 
CP_E3D_MIN 0.142857142857 0.464285714286 0.714285714286 
CP_ELOCAL_CB 0.0357142857143 0.214285714286 0.5 
CP_ELOCAL_MIN 0.107142857143 0.285714285714 0.678571428571 
CP_EPAIR_CB 0.107142857143 0.178571428571 0.464285714286 
CP_EPAIR_MIN 0.107142857143 0.321428571429 0.678571428571 
CP_ES3DC_CB 0.0357142857143 0.142857142857 0.357142857143 
CP_ES3DC_MIN 0.0357142857143 0.25 0.571428571429 
CP_GKS 0.0 0.0357142857143 0.428571428571 
CP_HLPL 0.214285714286 0.392857142857 0.642857142857 
CP_MJ1 0.0 0.0714285714286 0.357142857143 
CP_MJ2 0.0 0.0357142857143 0.357142857143 
CP_MJ2h 0.107142857143 0.285714285714 0.714285714286 
CP_MJ3h 0.107142857143 0.285714285714 0.5 
CP_MJPL 0.142857142857 0.321428571429 0.642857142857 
CP_MS 0.0 0.107142857143 0.5 
CP_MSBM 0.0714285714286 0.214285714286 0.321428571429 
CP_Qa 0.0 0.107142857143 0.285714285714 
CP_Qm 0.142857142857 0.178571428571 0.357142857143 
CP_Qp 0.142857142857 0.321428571429 0.607142857143 
CP_RMFCA 0.142857142857 0.25 0.642857142857 
CP_RMFCEN1 0.107142857143 0.5 0.678571428571 
CP_RMFCEN2 0.107142857143 0.392857142857 0.607142857143 
CP_RO 0.0 0.0714285714286 0.321428571429 
CP_SJKG 0.0357142857143 0.0714285714286 0.25 
CP_SKOa 0.0 0.178571428571 0.25 
CP_SKOb 0.0357142857143 0.178571428571 0.535714285714 
CP_SKOIP 0.142857142857 0.285714285714 0.5 
CP_TB 0.107142857143 0.464285714286 0.714285714286 
CP_TD 0.0714285714286 0.285714285714 0.642857142857 
CP_TEl 0.142857142857 0.321428571429 0.464285714286 
CP_TEs 0.0 0.0357142857143 0.357142857143 
CP_TS 0.142857142857 0.357142857143 0.75 
CP_TSC 0.214285714286 0.357142857143 0.785714285714 
CP_VD 0.0357142857143 0.142857142857 0.607142857143 
CP_Z3DC_CB 0.0 0.0 0.0 
CP_Z3DC_MIN 0.0 0.0714285714286 0.214285714286 
CP_ZLOCAL_CB 0.0 0.0 0.0 
CP_ZLOCAL_MIN 0.0 0.0 0.0714285714286 
CP_ZPAIR_CB 0.0 0.0357142857143 0.0357142857143 
CP_ZPAIR_MIN 0.0357142857143 0.0714285714286 0.178571428571 
CP_ZS3DC_CB 0.0357142857143 0.0357142857143 0.107142857143 
CP_ZS3DC_MIN 0.142857142857 0.25 0.535714285714 
DESOLV 0.0714285714286 0.107142857143 0.214285714286 
ELE 0.107142857143 0.25 0.642857142857 
ODA 0.178571428571 0.285714285714 0.392857142857 
PROPNSTS 0.0 0.0 0.0357142857143 
PYDOCK_TOT 0.142857142857 0.25 0.428571428571 
SIPPER 0.0 0.0 0.0 
VDW 0.0357142857143 0.25 0.571428571429 

