/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_BM5_METHOD_MIX 

pdb.list.flexibility.2 samples = 56

AP_calRW 0.0357142857143 0.214285714286 0.553571428571 
AP_calRWp 0.0357142857143 0.285714285714 0.625 
AP_DARS 0.0535714285714 0.107142857143 0.321428571429 
AP_DCOMPLEX 0.160714285714 0.303571428571 0.660714285714 
AP_dDFIRE 0.107142857143 0.285714285714 0.5 
AP_DFIRE2 0.0714285714286 0.142857142857 0.446428571429 
AP_DOPE 0.0714285714286 0.125 0.303571428571 
AP_DOPE_HR 0.0357142857143 0.178571428571 0.446428571429 
AP_GOAP_ALL 0.0357142857143 0.0535714285714 0.178571428571 
AP_GOAP_DF 0.125 0.214285714286 0.428571428571 
AP_GOAP_G 0.0178571428571 0.0357142857143 0.160714285714 
AP_MPS 0.0535714285714 0.214285714286 0.285714285714 
AP_PISA 0.0892857142857 0.339285714286 0.553571428571 
AP_T1 0.0535714285714 0.339285714286 0.607142857143 
AP_T2 0.125 0.303571428571 0.607142857143 
AP_URS 0.0178571428571 0.160714285714 0.446428571429 
AP_WENG 0.0178571428571 0.0357142857143 0.0892857142857 
CP_BFKV 0.0357142857143 0.125 0.392857142857 
CP_BL 0.0178571428571 0.196428571429 0.392857142857 
CP_BT 0.0357142857143 0.25 0.392857142857 
CP_DECK 0.178571428571 0.267857142857 0.375 
CP_E3D_CB 0.0892857142857 0.178571428571 0.392857142857 
CP_E3DC_CB 0.0 0.0357142857143 0.178571428571 
CP_E3DC_MIN 0.0714285714286 0.178571428571 0.392857142857 
CP_E3D_MIN 0.125 0.25 0.517857142857 
CP_ELOCAL_CB 0.0714285714286 0.196428571429 0.410714285714 
CP_ELOCAL_MIN 0.125 0.232142857143 0.464285714286 
CP_EPAIR_CB 0.0892857142857 0.125 0.321428571429 
CP_EPAIR_MIN 0.0892857142857 0.214285714286 0.428571428571 
CP_ES3DC_CB 0.0357142857143 0.0892857142857 0.25 
CP_ES3DC_MIN 0.0357142857143 0.178571428571 0.446428571429 
CP_GKS 0.0178571428571 0.0714285714286 0.357142857143 
CP_HLPL 0.0714285714286 0.232142857143 0.535714285714 
CP_MJ1 0.0178571428571 0.107142857143 0.267857142857 
CP_MJ2 0.0 0.0357142857143 0.321428571429 
CP_MJ2h 0.0892857142857 0.285714285714 0.535714285714 
CP_MJ3h 0.0357142857143 0.178571428571 0.357142857143 
CP_MJPL 0.107142857143 0.25 0.517857142857 
CP_MS 0.0357142857143 0.125 0.464285714286 
CP_MSBM 0.0357142857143 0.0535714285714 0.267857142857 
CP_Qa 0.0178571428571 0.0714285714286 0.160714285714 
CP_Qm 0.0535714285714 0.0892857142857 0.267857142857 
CP_Qp 0.0535714285714 0.214285714286 0.535714285714 
CP_RMFCA 0.0892857142857 0.232142857143 0.446428571429 
CP_RMFCEN1 0.125 0.285714285714 0.535714285714 
CP_RMFCEN2 0.125 0.285714285714 0.535714285714 
CP_RO 0.0 0.107142857143 0.267857142857 
CP_SJKG 0.0178571428571 0.125 0.321428571429 
CP_SKOa 0.0357142857143 0.125 0.321428571429 
CP_SKOb 0.0178571428571 0.0892857142857 0.339285714286 
CP_SKOIP 0.0535714285714 0.160714285714 0.321428571429 
CP_TB 0.0714285714286 0.25 0.535714285714 
CP_TD 0.0535714285714 0.285714285714 0.464285714286 
CP_TEl 0.0892857142857 0.196428571429 0.339285714286 
CP_TEs 0.0178571428571 0.0357142857143 0.285714285714 
CP_TS 0.0892857142857 0.196428571429 0.535714285714 
CP_TSC 0.125 0.303571428571 0.607142857143 
CP_VD 0.107142857143 0.232142857143 0.410714285714 
CP_Z3DC_CB 0.0 0.0 0.0357142857143 
CP_Z3DC_MIN 0.0178571428571 0.0892857142857 0.285714285714 
CP_ZLOCAL_CB 0.0 0.0178571428571 0.0357142857143 
CP_ZLOCAL_MIN 0.0 0.0357142857143 0.142857142857 
CP_ZPAIR_CB 0.0 0.0178571428571 0.0892857142857 
CP_ZPAIR_MIN 0.0178571428571 0.0535714285714 0.107142857143 
CP_ZS3DC_CB 0.0178571428571 0.0714285714286 0.25 
CP_ZS3DC_MIN 0.0535714285714 0.160714285714 0.446428571429 
DESOLV 0.0714285714286 0.125 0.196428571429 
ELE 0.142857142857 0.267857142857 0.5 
ODA 0.0892857142857 0.178571428571 0.321428571429 
PROPNSTS 0.0 0.0178571428571 0.0714285714286 
PYDOCK_TOT 0.142857142857 0.285714285714 0.446428571429 
SIPPER 0.0 0.0 0.0 
VDW 0.0178571428571 0.232142857143 0.607142857143 

