ZDOCK,,,,,,,
,,,,,,,
/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_byRMSD_Zdock/,,/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_byRMSD_Zdock/,,,/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_byRMSD_Zdock/,,/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_byRMSD_Zdock/
,,,,,,,
"pdb,list,strongbinders",=,"pdb,list,wmbinders",,,"pdb,list,strongbinders,BM5",=,"pdb,list,wmbinders,bm5"
,Strong,Weak,,,,Strong,Weak
AP_calRW,"0,2142857143","0,1639344262",,,AP_calRW,"0,2222222222","0,1081081081"
AP_calRWp,"0,3928571429","0,1639344262",,,AP_calRWp,"0,3333333333","0,1621621622"
AP_DARS,"0,2142857143","0,131147541",,,AP_DARS,"0,3333333333","0,1081081081"
AP_DCOMPLEX,"0,2857142857","0,2131147541",,,AP_DCOMPLEX,"0,3333333333","0,1621621622"
AP_dDFIRE,"0,2857142857","0,1967213115",,,AP_dDFIRE,"0,1111111111","0,0810810811"
AP_DFIRE2,"0,2142857143","0,0983606557",,,AP_DFIRE2,"0,2222222222","0,0810810811"
AP_DOPE,"0,2142857143","0,0491803279",,,AP_DOPE,"0,1111111111",0
AP_DOPE_HR,"0,1785714286","0,0983606557",,,AP_DOPE_HR,"0,2222222222","0,0810810811"
AP_GOAP_ALL,"0,0357142857","0,0819672131",,,AP_GOAP_ALL,"0,2222222222","0,0540540541"
AP_GOAP_DF,"0,2857142857","0,131147541",,,AP_GOAP_DF,"0,2222222222","0,1351351351"
AP_GOAP_G,0,"0,0655737705",,,AP_GOAP_G,0,"0,0540540541"
AP_MPS,"0,25","0,0491803279",,,AP_MPS,"0,3333333333","0,0810810811"
AP_PISA,"0,5357142857","0,2950819672",,,AP_PISA,"0,3333333333","0,1891891892"
AP_T1,"0,3571428571","0,2131147541",,,AP_T1,"0,5555555556","0,1351351351"
AP_T2,"0,3214285714","0,1639344262",,,AP_T2,"0,4444444444","0,2162162162"
AP_URS,"0,2142857143","0,0819672131",,,AP_URS,"0,1111111111","0,1351351351"
AP_WENG,"0,1071428571","0,0163934426",,,AP_WENG,0,"0,0540540541"
CP_BFKV,"0,25","0,0983606557",,,CP_BFKV,"0,3333333333","0,027027027"
CP_BL,"0,3571428571","0,131147541",,,CP_BL,"0,1111111111","0,2432432432"
CP_BT,"0,25","0,1967213115",,,CP_BT,"0,5555555556","0,1891891892"
CP_DECK,"0,3214285714","0,2131147541",,,CP_DECK,0,"0,0810810811"
CP_E3D_CB,"0,1785714286","0,0819672131",,,CP_E3D_CB,"0,2222222222","0,0810810811"
CP_E3DC_CB,"0,1071428571","0,0655737705",,,CP_E3DC_CB,"0,1111111111","0,0810810811"
CP_E3DC_MIN,"0,2857142857","0,1475409836",,,CP_E3DC_MIN,"0,2222222222","0,0810810811"
CP_E3D_MIN,"0,4642857143","0,0983606557",,,CP_E3D_MIN,"0,1111111111","0,1351351351"
CP_ELOCAL_CB,"0,25","0,0819672131",,,CP_ELOCAL_CB,"0,2222222222","0,1081081081"
CP_ELOCAL_MIN,"0,3214285714","0,1147540984",,,CP_ELOCAL_MIN,0,"0,1351351351"
CP_EPAIR_CB,"0,25","0,0655737705",,,CP_EPAIR_CB,"0,2222222222","0,027027027"
CP_EPAIR_MIN,"0,3571428571","0,1639344262",,,CP_EPAIR_MIN,"0,1111111111","0,0810810811"
CP_ES3DC_CB,"0,2142857143","0,0819672131",,,CP_ES3DC_CB,0,"0,0540540541"
CP_ES3DC_MIN,"0,2142857143","0,1147540984",,,CP_ES3DC_MIN,"0,2222222222","0,0810810811"
CP_GKS,"0,1071428571","0,0819672131",,,CP_GKS,"0,4444444444","0,0810810811"
CP_HLPL,"0,3928571429","0,1639344262",,,CP_HLPL,"0,3333333333","0,1891891892"
CP_MJ1,0,"0,0327868852",,,CP_MJ1,"0,2222222222","0,0810810811"
CP_MJ2,"0,0357142857","0,0163934426",,,CP_MJ2,"0,3333333333","0,0540540541"
CP_MJ2h,"0,3571428571","0,1639344262",,,CP_MJ2h,"0,1111111111","0,1621621622"
CP_MJ3h,"0,3214285714","0,1803278689",,,CP_MJ3h,"0,1111111111","0,0810810811"
CP_MJPL,"0,3214285714","0,1639344262",,,CP_MJPL,"0,1111111111","0,2162162162"
CP_MS,"0,0714285714","0,0983606557",,,CP_MS,"0,4444444444","0,1081081081"
CP_MSBM,"0,2142857143","0,0819672131",,,CP_MSBM,"0,1111111111","0,1081081081"
CP_Qa,"0,1071428571","0,0491803279",,,CP_Qa,"0,1111111111",0
CP_Qm,"0,1785714286","0,0655737705",,,CP_Qm,"0,1111111111","0,1081081081"
CP_Qp,"0,3928571429","0,131147541",,,CP_Qp,"0,1111111111","0,1351351351"
CP_RMFCA,"0,2857142857","0,1639344262",,,CP_RMFCA,"0,1111111111","0,1621621622"
CP_RMFCEN1,"0,3928571429","0,0983606557",,,CP_RMFCEN1,"0,2222222222","0,1081081081"
CP_RMFCEN2,"0,3214285714","0,0655737705",,,CP_RMFCEN2,"0,2222222222","0,0540540541"
CP_RO,"0,0714285714","0,0655737705",,,CP_RO,0,"0,0810810811"
CP_SJKG,"0,0714285714","0,0819672131",,,CP_SJKG,"0,2222222222","0,027027027"
CP_SKOa,"0,1785714286","0,0983606557",,,CP_SKOa,"0,2222222222","0,0810810811"
CP_SKOb,"0,25","0,1475409836",,,CP_SKOb,"0,1111111111","0,1081081081"
CP_SKOIP,"0,2857142857","0,1639344262",,,CP_SKOIP,0,"0,0810810811"
CP_TB,"0,4285714286","0,1639344262",,,CP_TB,"0,5555555556","0,0810810811"
CP_TD,"0,2857142857","0,1639344262",,,CP_TD,"0,3333333333","0,0810810811"
CP_TEl,"0,3214285714","0,131147541",,,CP_TEl,"0,1111111111","0,1081081081"
CP_TEs,"0,0714285714","0,0819672131",,,CP_TEs,0,"0,1081081081"
CP_TS,"0,3928571429","0,0983606557",,,CP_TS,"0,1111111111","0,1351351351"
CP_TSC,"0,3928571429","0,2950819672",,,CP_TSC,"0,4444444444","0,2702702703"
CP_VD,"0,1428571429","0,1147540984",,,CP_VD,"0,5555555556","0,1081081081"
CP_Z3DC_CB,0,"0,0163934426",,,CP_Z3DC_CB,0,0
CP_Z3DC_MIN,"0,1071428571","0,1475409836",,,CP_Z3DC_MIN,0,"0,0540540541"
CP_ZLOCAL_CB,0,"0,0327868852",,,CP_ZLOCAL_CB,0,"0,0540540541"
CP_ZLOCAL_MIN,0,"0,0163934426",,,CP_ZLOCAL_MIN,0,"0,0540540541"
CP_ZPAIR_CB,"0,0357142857","0,0327868852",,,CP_ZPAIR_CB,0,"0,0810810811"
CP_ZPAIR_MIN,"0,0714285714","0,0491803279",,,CP_ZPAIR_MIN,"0,1111111111","0,027027027"
CP_ZS3DC_CB,"0,0714285714","0,0819672131",,,CP_ZS3DC_CB,0,"0,0810810811"
CP_ZS3DC_MIN,"0,1785714286","0,131147541",,,CP_ZS3DC_MIN,"0,2222222222","0,1081081081"
DESOLV,"0,1071428571","0,0819672131",,,DESOLV,0,"0,0810810811"
ELE,"0,25","0,2131147541",,,ELE,"0,6666666667","0,1891891892"
ODA,"0,2857142857","0,1475409836",,,ODA,0,"0,1081081081"
PROPNSTS,"0,1428571429","0,131147541",,,PROPNSTS,"0,1111111111","0,0540540541"
PYDOCK_TOT,"0,3571428571","0,2950819672",,,PYDOCK_TOT,"0,2222222222","0,1891891892"
SIPPER,"0,3214285714","0,1639344262",,,SIPPER,"0,2222222222","0,1351351351"
VDW,"0,1785714286","0,0655737705",,,VDW,"0,1111111111","0,0810810811"
ZDOCK,"0,4285714286","0,2131147541",,,ZDOCK,"0,3333333333","0,2162162162"
