pydock 

pdb.list.flexibility.2 samples = 56

combo_AP_dDFIRE_AP_DCOMPLEX 0.0714285714286 0.232142857143 0.410714285714 
combo_CP_BFKV_AP_DCOMPLEX 0.0357142857143 0.196428571429 0.464285714286 
combo_CP_BFKV_AP_dDFIRE 0.0892857142857 0.25 0.482142857143 
combo_CP_SJKG_AP_DCOMPLEX 0.0357142857143 0.196428571429 0.464285714286 
combo_CP_SJKG_AP_dDFIRE 0.0714285714286 0.25 0.482142857143 
combo_CP_SJKG_CP_BFKV 0.0178571428571 0.0892857142857 0.392857142857 
combo_CP_SJKG_pydock 0.0178571428571 0.178571428571 0.517857142857 
combo_CP_SKOa_AP_DCOMPLEX 0.0535714285714 0.160714285714 0.410714285714 
combo_CP_SKOa_AP_dDFIRE 0.0714285714286 0.232142857143 0.446428571429 
combo_CP_SKOa_CP_BFKV 0.0178571428571 0.125 0.357142857143 
combo_CP_SKOa_CP_SJKG 0.0178571428571 0.0714285714286 0.321428571429 
combo_CP_SKOa_pydock 0.0357142857143 0.178571428571 0.5 
combo_pydock_AP_DCOMPLEX 0.0892857142857 0.267857142857 0.517857142857 
combo_pydock_AP_dDFIRE 0.142857142857 0.232142857143 0.5 
combo_pydock_CP_BFKV 0.0714285714286 0.232142857143 0.535714285714 

