pdb.list.flexibility.2 samples = 56

combo_AP_GOAP_DF_AP_MPS 0.125 0.196428571429 0.5 
combo_AP_GOAP_DF_CP_BFKV 0.142857142857 0.339285714286 0.5 
combo_AP_GOAP_DF_CP_E3D_MIN 0.160714285714 0.303571428571 0.553571428571 
combo_AP_GOAP_DF_CP_RMFCEN1 0.160714285714 0.303571428571 0.517857142857 
combo_AP_GOAP_DF_CP_TB 0.196428571429 0.392857142857 0.553571428571 
combo_AP_MPS_CP_BFKV 0.0892857142857 0.285714285714 0.446428571429 
combo_AP_MPS_CP_RMFCEN1 0.142857142857 0.25 0.625 
combo_AP_MPS_CP_TB 0.107142857143 0.267857142857 0.482142857143 
combo_CP_E3D_MIN_AP_MPS 0.125 0.196428571429 0.589285714286 
combo_CP_E3D_MIN_CP_BFKV 0.107142857143 0.339285714286 0.607142857143 
combo_CP_E3D_MIN_CP_RMFCEN1 0.142857142857 0.25 0.553571428571 
combo_CP_E3D_MIN_CP_TB 0.142857142857 0.357142857143 0.625 
combo_CP_RMFCEN1_CP_BFKV 0.160714285714 0.375 0.553571428571 
combo_CP_TB_CP_BFKV 0.0892857142857 0.232142857143 0.446428571429 
combo_CP_TB_CP_RMFCEN1 0.160714285714 0.410714285714 0.642857142857 
combo_PYDOCK_TOT_AP_GOAP_DF 0.196428571429 0.375 0.5 
combo_PYDOCK_TOT_AP_MPS 0.0892857142857 0.178571428571 0.428571428571 
combo_PYDOCK_TOT_CP_BFKV 0.0714285714286 0.196428571429 0.428571428571 
combo_PYDOCK_TOT_CP_E3D_MIN 0.178571428571 0.339285714286 0.589285714286 
combo_PYDOCK_TOT_CP_RMFCEN1 0.178571428571 0.375 0.571428571429 
combo_PYDOCK_TOT_CP_TB 0.0892857142857 0.321428571429 0.517857142857 
combo_PYDOCK_TOT_SDOCK 0.125 0.303571428571 0.517857142857 
combo_SDOCK_AP_GOAP_DF 0.196428571429 0.392857142857 0.553571428571 
combo_SDOCK_AP_MPS 0.142857142857 0.267857142857 0.535714285714 
combo_SDOCK_CP_BFKV 0.125 0.267857142857 0.517857142857 
combo_SDOCK_CP_E3D_MIN 0.196428571429 0.357142857143 0.553571428571 
combo_SDOCK_CP_RMFCEN1 0.178571428571 0.375 0.517857142857 
combo_SDOCK_CP_TB 0.142857142857 0.357142857143 0.535714285714 

