pdb.list.weakbinders samples = 20

combo_AP_GOAP_DF_AP_MPS 0.0 0.1 0.4 
combo_AP_GOAP_DF_CP_BFKV 0.0 0.2 0.4 
combo_AP_GOAP_DF_CP_E3D_MIN 0.1 0.2 0.25 
combo_AP_GOAP_DF_CP_RMFCEN1 0.05 0.15 0.3 
combo_AP_GOAP_DF_CP_TB 0.1 0.2 0.45 
combo_AP_MPS_CP_BFKV 0.0 0.1 0.3 
combo_AP_MPS_CP_RMFCEN1 0.0 0.1 0.45 
combo_AP_MPS_CP_TB 0.0 0.2 0.45 
combo_CP_E3D_MIN_AP_MPS 0.0 0.05 0.45 
combo_CP_E3D_MIN_CP_BFKV 0.0 0.1 0.4 
combo_CP_E3D_MIN_CP_RMFCEN1 0.0 0.1 0.3 
combo_CP_E3D_MIN_CP_TB 0.0 0.15 0.5 
combo_CP_RMFCEN1_CP_BFKV 0.05 0.25 0.35 
combo_CP_TB_CP_BFKV 0.0 0.2 0.35 
combo_CP_TB_CP_RMFCEN1 0.05 0.1 0.4 
combo_PYDOCK_TOT_AP_GOAP_DF 0.0 0.25 0.35 
combo_PYDOCK_TOT_AP_MPS 0.05 0.15 0.45 
combo_PYDOCK_TOT_CP_BFKV 0.0 0.05 0.35 
combo_PYDOCK_TOT_CP_E3D_MIN 0.05 0.15 0.45 
combo_PYDOCK_TOT_CP_RMFCEN1 0.1 0.15 0.4 
combo_PYDOCK_TOT_CP_TB 0.0 0.2 0.35 
combo_PYDOCK_TOT_SDOCK 0.1 0.2 0.3 
combo_SDOCK_AP_GOAP_DF 0.1 0.15 0.35 
combo_SDOCK_AP_MPS 0.15 0.2 0.4 
combo_SDOCK_CP_BFKV 0.05 0.25 0.3 
combo_SDOCK_CP_E3D_MIN 0.05 0.15 0.35 
combo_SDOCK_CP_RMFCEN1 0.05 0.1 0.4 
combo_SDOCK_CP_TB 0.05 0.25 0.3 

