/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_byRMSD_Zdock/

pdb.list.flexibility.2 samples = 56

combo_AP_calRWp_AP_PISA 0.107142857143 0.339285714286 0.5 
combo_AP_calRWp_AP_T1 0.125 0.321428571429 0.571428571429 
combo_AP_calRWp_AP_T2 0.0714285714286 0.285714285714 0.571428571429 
combo_AP_calRWp_CP_TB 0.0714285714286 0.178571428571 0.535714285714 
combo_AP_calRWp_zdock3 0.0 0.107142857143 0.517857142857 
combo_AP_PISA_AP_T1 0.125 0.303571428571 0.571428571429 
combo_AP_PISA_AP_T2 0.160714285714 0.303571428571 0.553571428571 
combo_AP_PISA_CP_TB 0.142857142857 0.285714285714 0.5 
combo_AP_T1_CP_TB 0.125 0.285714285714 0.589285714286 
combo_AP_T2_AP_T1 0.0892857142857 0.285714285714 0.625 
combo_AP_T2_CP_TB 0.0714285714286 0.25 0.571428571429 
combo_CP_BFKV_AP_calRWp 0.0357142857143 0.214285714286 0.410714285714 
combo_CP_BFKV_AP_PISA 0.0892857142857 0.303571428571 0.428571428571 
combo_CP_BFKV_AP_T1 0.0357142857143 0.107142857143 0.482142857143 
combo_CP_BFKV_AP_T2 0.0714285714286 0.107142857143 0.410714285714 
combo_CP_BFKV_CP_TB 0.0535714285714 0.214285714286 0.464285714286 
combo_CP_BFKV_PYDOCK_TOT 0.0535714285714 0.160714285714 0.375 
combo_CP_BFKV_zdock3 0.0178571428571 0.142857142857 0.339285714286 
combo_PYDOCK_TOT_AP_calRWp 0.125 0.267857142857 0.535714285714 
combo_PYDOCK_TOT_AP_PISA 0.107142857143 0.392857142857 0.535714285714 
combo_PYDOCK_TOT_AP_T1 0.125 0.321428571429 0.553571428571 
combo_PYDOCK_TOT_AP_T2 0.107142857143 0.321428571429 0.553571428571 
combo_PYDOCK_TOT_CP_TB 0.142857142857 0.285714285714 0.5 
combo_PYDOCK_TOT_zdock3 0.107142857143 0.25 0.535714285714 
combo_zdock3_AP_PISA 0.0892857142857 0.285714285714 0.535714285714 
combo_zdock3_AP_T1 0.0 0.196428571429 0.589285714286 
combo_zdock3_AP_T2 0.0357142857143 0.160714285714 0.553571428571 
combo_zdock3_CP_TB 0.0357142857143 0.196428571429 0.571428571429 

