/gpfs/scratch/bsc54/bsc54563/Analisys_MI_BM4_byRMSD_Zdock/

pdb.list.mediumbinders samples = 41

combo_AP_calRWp_AP_PISA 0.0975609756098 0.341463414634 0.487804878049 
combo_AP_calRWp_AP_T1 0.121951219512 0.219512195122 0.487804878049 
combo_AP_calRWp_AP_T2 0.0 0.19512195122 0.536585365854 
combo_AP_calRWp_CP_TB 0.0731707317073 0.19512195122 0.463414634146 
combo_AP_calRWp_zdock3 0.0 0.0975609756098 0.463414634146 
combo_AP_PISA_AP_T1 0.0731707317073 0.243902439024 0.414634146341 
combo_AP_PISA_AP_T2 0.0731707317073 0.19512195122 0.439024390244 
combo_AP_PISA_CP_TB 0.170731707317 0.243902439024 0.414634146341 
combo_AP_T1_CP_TB 0.0487804878049 0.243902439024 0.463414634146 
combo_AP_T2_AP_T1 0.0 0.19512195122 0.487804878049 
combo_AP_T2_CP_TB 0.0731707317073 0.243902439024 0.414634146341 
combo_CP_BFKV_AP_calRWp 0.0731707317073 0.19512195122 0.414634146341 
combo_CP_BFKV_AP_PISA 0.0975609756098 0.268292682927 0.439024390244 
combo_CP_BFKV_AP_T1 0.0731707317073 0.146341463415 0.341463414634 
combo_CP_BFKV_AP_T2 0.0731707317073 0.0975609756098 0.341463414634 
combo_CP_BFKV_CP_TB 0.0487804878049 0.121951219512 0.390243902439 
combo_CP_BFKV_PYDOCK_TOT 0.0975609756098 0.170731707317 0.341463414634 
combo_CP_BFKV_zdock3 0.0 0.170731707317 0.317073170732 
combo_PYDOCK_TOT_AP_calRWp 0.121951219512 0.292682926829 0.512195121951 
combo_PYDOCK_TOT_AP_PISA 0.121951219512 0.317073170732 0.512195121951 
combo_PYDOCK_TOT_AP_T1 0.146341463415 0.292682926829 0.487804878049 
combo_PYDOCK_TOT_AP_T2 0.121951219512 0.268292682927 0.439024390244 
combo_PYDOCK_TOT_CP_TB 0.19512195122 0.243902439024 0.414634146341 
combo_PYDOCK_TOT_zdock3 0.0731707317073 0.243902439024 0.414634146341 
combo_zdock3_AP_PISA 0.0487804878049 0.219512195122 0.487804878049 
combo_zdock3_AP_T1 0.0 0.19512195122 0.512195121951 
combo_zdock3_AP_T2 0.0243902439024 0.0487804878049 0.463414634146 
combo_zdock3_CP_TB 0.0487804878049 0.170731707317 0.487804878049 

